id,Producto,Cantidad,Precio,Vendedor,Ciudad
889,Pet Hair Vacuum Cleaner Attachment,88,14.99,Ringo,Al Miftāḩ
890,Rice Noodles,54,3.49,Julius,Yueshan
891,Nordic Berry Smoothie,52,3.99,Clarissa,Donduşeni
892,Peach Slices in Syrup,34,2.59,Kip,Caazapá
893,Wireless Game Controller,26,39.99,Meier,Zhouling
894,Outdoor Sports Backpack,58,49.99,Earle,Shamanka
895,Tortilla Chips,16,2.99,Xerxes,Marinilla
896,Hand Crank Blender,49,18.99,Patrizia,Atarodangwautu
897,Pumpkin Pancake Mix,52,4.19,Lory,Ōmura
898,Rain Jacket,78,64.99,Jorgan,Aurora
899,Cream Cheese,88,2.69,Fonz,Tsurugi-asahimachi
900,Baking Soda,65,0.99,Jsandye,Gubu
901,Savory Quinoa Pudding,67,2.99,Rennie,Komsomolets
902,Miso Soup Starter,38,2.99,Griselda,Bayt Ta‘mar
903,Grapes (red),21,3.49,Milly,Duayaw Nkwanta
904,Wireless Charger,81,24.99,Denney,Koudougou
905,Ramen Noodle Soup Cups,71,1.29,Eliot,Atalaia
906,Luxury Bath Salts,36,19.99,Truda,Mene de Mauroa
907,Dog Waste Bag Dispenser,48,6.99,Teodoor,Bagakay
908,Classic Black Trousers,13,54.99,Charmion,Changwon
909,Almond Milk,63,3.29,Clare,Jabal os Saraj
910,Cranberry Lime Sparkling Water,15,1.5,Forest,Khiwa
911,Portable Hammock,57,27.99,Gweneth,Štitar
912,Golf Putting Green,99,79.99,Hillary,Sviblovo
913,Cilantro Lime Rice,30,2.99,Sherri,Inđija
914,Breezy Off-The-Shoulder Top,10,34.99,Amargo,Chinch'ŏn
915,Mango Sticky Rice Dessert,67,4.5,Norean,Sūrak
916,Organic Quinoa Chips,50,3.99,Herbert,Villa Las Rosas
917,Creamy Ranch Dressing,34,2.49,Cully,Astghadzor
918,Scented Candle Set,10,24.99,Emyle,Igurubi
919,Desk Organizer Set,77,29.99,Abby,Talon
920,Outdoor String Lights,68,24.99,Ursala,Kedungkrajan
921,Creamy Spinach Dip,82,5.99,Halli,Youxi
922,Chipotle Black Bean Salad,13,3.29,Cacilie,Dadapan
923,Hibiscus Tea Bags,14,3.79,Haley,Mizusawa
924,Electric Rice Cooker,23,39.99,Dal,Tombatu
925,Fruit and Nut Medley,34,5.99,Catlin,Gómfoi
926,High-Low Hem Tee,93,22.99,Alard,Heping
927,Herbed Chicken Breast,46,7.99,Nettie,Bořetice
928,Electric Egg Cooker,100,29.99,Nalani,Huibu
929,Pet Travel Carrier,8,39.99,Lorri,Tarbes
930,Tomato Sauce,84,2.79,Tait,Haveliān
931,Travel Beach Blanket,29,29.99,Massimo,Kraaifontein
932,Kids' Craft Supplies Set,29,24.99,Rodrique,Poniatowa
933,Portable Bluetooth Speaker,97,49.99,Karilynn,Namyangju
934,Camping Chair,95,29.99,Kristan,Parfino
935,Infrared Thermometer Gun,12,29.99,Enrique,Tonota
936,Bamboo Charcoal Air Purifier Bags,51,12.99,Reggis,Köping
937,Portable Phone Mug Holder,15,14.99,Montgomery,Jinnan
938,Eco-Friendly Cleaning Cloths,93,12.99,Sandi,Wingham
939,Organic Ramen Noodles,100,2.89,Shamus,Antaparco
940,Denim Jacket,42,69.99,Gabi,Itzig
941,Face Mask Set,50,19.99,Solomon,San Bernardino
942,Vegetable Chips,6,3.99,Clemente,Undurkhaan
943,Bluetooth Tracker,65,19.99,Merrielle,Huangzhai
944,Fashionable Belt Bag,30,34.99,Baudoin,Ashikaga
945,Garden Tool Belt,36,22.99,Fidelio,Renfrew
946,Mango Chilli Sauce,36,3.99,Karlotte,Djibouti
947,Skincare Set,42,54.99,Elora,Kujang-ŭp
948,Oven Mitts,56,15.99,Issiah,Amahusu
949,Kids' Activity Book,63,14.99,Dynah,Nagosela
950,USB-C Hub,10,39.99,Malcolm,Ostrowite
951,Compact Pop-Up Tent,78,69.99,Mirabelle,Vitez
952,Over-Ear Headphones,43,59.99,Ethelda,Lagoa da Prata
953,Coconut Yogurt,25,3.89,Frederique,Kalaxilike
954,Digital Food Thermometer,63,19.99,Dev,Yanjiang
955,Organic Tomato Ketchup,92,3.49,Hieronymus,Basse-Terre
956,Tuna Fish (canned),34,2.29,Fairlie,San Felipe
957,Heated Throw Blanket,87,49.99,Nicole,Jablonec nad Nisou
958,Kids' Activity Book,98,14.99,Burt,Nianba
959,Outdoor Camping Lantern,59,34.99,Mattie,Jianyangping
960,Dog Training Whistle,18,8.99,Emelita,Binalbagan
961,Herb Seasoned Rice,45,2.99,Rufus,Las Yaras
962,Coconut Rice,9,2.29,Timmy,Huangyan
963,Nut Butter Cups,43,3.99,Erich,Weton
964,Tahini,35,5.49,Ruperto,Beigucheng
965,Roasted Garlic Aioli,3,3.79,Curtice,Dukuhtengah
966,Foldable Electric Scooter,37,349.99,Cissy,Anibare
967,Smart LED Desk Lamp,32,39.99,Sigrid,Luhe
968,Dried Fruit Medley,51,5.49,Oswell,Yongjiang
969,Sweet Potato Chips,2,2.99,Mace,Kashar
970,Outdoor Folding Table,1,39.99,Dita,Klenak
971,Honey Wheat Pretzels,64,3.49,Sheelagh,Luján de Cuyo
972,Scented Soy Candles,22,19.99,Benoite,Miringa
973,Wooden Toy Train Set,89,29.99,Tanya,Visby
974,Satin Slip Dress,80,59.99,Rayshell,Węgry
975,Stainless Steel Mixing Bowls,12,29.99,Tabby,Felege Neway
976,Scent Diffuser Oil,14,14.99,Charity,Sirnaresmi
977,Apple Cinnamon Instant Oatmeal,31,3.49,Brice,Yujin
978,Honey Garlic Sauce,15,2.59,Shaina,Mansilingan
979,Roasted Red Pepper Dip,2,3.29,Bancroft,Cimanggu
980,Smart Wi-Fi Light Bulbs,75,19.99,Neville,Montfort-sur-Meu
981,Vegetable Samosas,64,4.99,Laurel,Nūr
982,LED Desk Lamp,36,35,Garland,Dera Bugti
983,Mushrooms,31,2.99,Elyssa,Ustyuzhna
984,Cinnamon Roll Protein Bar,94,2.99,Tracie,Qal‘at Bīshah
985,Travel Document Organizer,42,15.99,Harrietta,Lovrenc na Pohorju
986,Window A/C Unit,48,299.99,Reese,Morro do Chapéu
987,Portable Air Conditioner,92,299.99,Marco,Aoufous
988,Sliced Ham,83,5.49,Hanni,Zhangpu
989,Herbed Couscous,86,2.49,Richie,Xaçmaz
990,Dog Car Seat Cover,55,39.99,Jarid,Acatenango
991,Asian Noodle Salad Kit,72,4.99,Morie,Dieppe
992,Folding Pocket Knife,52,24.99,Kathye,Johor Bahru
993,Honey Mustard Chicken Breasts,72,8.99,Tootsie,Simunul
994,Lentil Soup (canned),48,1.99,Chloette,Cibeureum Satu
995,Sushi Roll Kit,41,9.99,Janina,Chixi
996,Smart Home Hub,87,99.99,Jake,Tuanshan
997,Pet Safety Belt for Car,4,14.99,Town,Cimuncang
998,Kids' Dinosaur-Themed Lunchbox,50,19.99,Garrott,Ust’-Koksa
999,BBQ Sauce,87,3.49,Neala,Kvitok
1000,Coconut Milk Ice Cream,75,6.99,Claudianus,Chunmuying
